source,target,weight
Sporting Goods,Women's Clothing,4
Sporting Goods,Cleats,4
Sporting Goods,Children's Clothing,4
Sporting Goods,Fitness Accessories,4
Sporting Goods,Hockey,4
Sporting Goods,Tennis & Racquet,4
Sporting Goods,Consumer Electronics,4
Sporting Goods,Video Games,4
Sporting Goods,Golf Apparel,4
Sporting Goods,Hunting & Shooting,4
Sporting Goods,Golf Balls,4
Sporting Goods,Books,4
Sporting Goods,Water Sports,4
Sporting Goods,CDs,4
Sporting Goods,Golf Shoes,4
Sporting Goods,Indoor/Outdoor Games,4
Sporting Goods,DVDs,4
Sporting Goods,Trade-In,4
Sporting Goods,Baby,4
Sporting Goods,Toys,4
Sporting Goods,Music,4
Sporting Goods,Men's Footwear,4
Sporting Goods,Accessories,4
Sporting Goods,Cameras,3
Sporting Goods,Men's Clothing,4
Sporting Goods,Girls' Apparel,4
Sporting Goods,Computers,4
Sporting Goods,Women's Apparel,4
Sporting Goods,Health and Beauty,4
Sporting Goods,Lacrosse,4
Sporting Goods,Boxing & MMA,4
Sporting Goods,Baseball & Softball,4
Sporting Goods,Camping & Hiking,4
Sporting Goods,Cardio Equipment,4
Sporting Goods,Garden,4
Sporting Goods,Shop By Sport,4
Sporting Goods,Golf Gloves,4
Sporting Goods,Pet Supplies,4
Sporting Goods,Crafts,4
Sporting Goods,Electronics,4
Sporting Goods,Fishing,4
Cleats,Women's Clothing,4
Cleats,As Seen on  TV!,6
Cleats,Children's Clothing,7
Cleats,Basketball,3
Cleats,Fitness Accessories,22
Cleats,Hockey,22
Cleats,Tennis & Racquet,23
Cleats,Consumer Electronics,7
Cleats,Video Games,4
Cleats,Men's Golf Clubs,6
Cleats,Golf Bags & Carts,6
Cleats,Golf Apparel,23
Cleats,Hunting & Shooting,23
Cleats,Soccer,6
Cleats,Golf Balls,23
Cleats,Water Sports,23
Cleats,Books,7
Cleats,CDs,7
Cleats,Golf Shoes,22
Cleats,Strength Training,6
Cleats,Indoor/Outdoor Games,23
Cleats,DVDs,7
Cleats,Trade-In,23
Cleats,Baby,7
Cleats,Toys,4
Cleats,Music,4
Cleats,Accessories,23
Cleats,Men's Footwear,23
